Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,146.470001,146.470001,144.660004,145.490005,130.365433,3736600
2019-11-07,147.389999,148.410004,146.750000,147.009995,131.727417,3816700
2019-11-08,146.660004,148.179993,145.800003,148.160004,132.757874,2776600
2019-11-11,146.740005,148.149994,146.610001,148.000000,132.614487,2205100
2019-11-12,148.110001,148.470001,146.020004,146.339996,131.127075,2843100
2019-11-13,144.360001,145.860001,143.690002,144.490005,129.469376,3194400
2019-11-14,144.210007,145.339996,143.210007,143.440002,128.528549,2581700
2019-11-15,144.559998,145.880005,144.509995,145.309998,130.204132,2827400
2019-11-18,144.240005,144.779999,143.020004,143.589996,128.662918,2638600
2019-11-19,144.350006,144.759995,142.759995,143.179993,128.295547,2085100
2019-11-20,142.449997,142.699997,140.100006,141.520004,126.808144,3484700
2019-11-21,141.550003,143.940002,140.949997,143.360001,128.456863,3297700
2019-11-22,143.919998,144.460007,143.029999,143.880005,128.922791,2258300
2019-11-25,144.750000,146.570007,143.800003,146.419998,131.198746,3085200
2019-11-26,146.399994,146.649994,145.490005,146.089996,130.903061,2468100
2019-11-27,145.020004,145.720001,143.699997,145.690002,130.544632,2660200
2019-11-29,144.190002,145.460007,143.789993,144.729996,129.684433,1652500
2019-12-02,145.199997,146.039993,142.839996,142.960007,128.098450,2896200
2019-12-03,140.050003,140.429993,138.559998,140.059998,125.499931,3839600
2019-12-04,140.979996,142.279999,140.000000,140.119995,125.553673,2484600
2019-12-05,140.580002,141.119995,139.529999,141.050003,126.386986,2277700
2019-12-06,142.910004,143.419998,142.169998,142.720001,127.883339,2271400
2019-12-09,142.970001,143.279999,142.369995,142.830002,127.981972,1585100
2019-12-10,142.690002,143.589996,141.750000,142.869995,128.017807,1888900
2019-12-11,143.770004,144.619995,143.289993,144.000000,129.030319,2265700
2019-12-12,143.539993,147.399994,143.000000,146.779999,131.521317,3714100
2019-12-13,146.800003,148.399994,145.149994,145.529999,130.401276,3311700
2019-12-16,147.710007,148.300003,145.229996,145.360001,130.248962,2414800
2019-12-17,145.500000,146.990005,145.460007,146.369995,131.153976,2850800
2019-12-18,146.500000,147.300003,145.600006,147.119995,131.825974,2629500
2019-12-19,146.979996,146.979996,144.300003,145.020004,129.944321,3576800
2019-12-20,147.380005,147.770004,145.240005,147.570007,132.229202,6805400
2019-12-23,147.679993,148.529999,146.779999,148.500000,133.062531,2346500
2019-12-24,148.699997,148.800003,147.289993,147.479996,132.148529,966200
2019-12-26,147.899994,148.229996,146.990005,148.220001,132.811615,1576900
2019-12-27,148.639999,148.929993,147.990005,148.279999,132.865372,1544500
2019-12-30,148.419998,148.470001,147.009995,147.520004,132.184402,1789200
2019-12-31,147.429993,148.229996,146.789993,147.679993,132.327774,1952500
2020-01-02,149.000000,150.550003,147.979996,150.529999,134.881470,3311900
2020-01-03,148.770004,149.960007,147.449997,148.440002,133.008728,3100600
2020-01-06,147.270004,148.559998,146.539993,148.339996,132.919159,2549600
2020-01-07,147.350006,147.570007,145.509995,146.380005,131.162903,2841900
2020-01-08,146.830002,148.570007,146.460007,147.679993,132.327774,2153200
2020-01-09,147.809998,147.970001,146.509995,147.309998,131.996246,2272500
2020-01-10,147.449997,147.720001,145.830002,146.130005,130.938873,2393700
2020-01-13,146.529999,146.830002,145.550003,146.820007,131.557159,3355200
2020-01-14,147.449997,147.979996,146.309998,146.679993,131.431702,2742200
2020-01-15,146.220001,146.740005,145.199997,145.570007,130.437088,2640500
2020-01-16,146.429993,147.929993,146.240005,147.869995,132.498001,3070900
2020-01-17,147.210007,148.270004,146.600006,147.779999,133.346176,3331500
2020-01-21,147.199997,147.869995,145.690002,145.850006,131.604691,2476700
2020-01-22,146.250000,146.559998,142.520004,142.630005,128.699188,3602400
2020-01-23,141.809998,143.210007,139.800003,142.750000,128.807465,3182700
2020-01-24,142.550003,142.699997,139.259995,140.380005,126.669006,2526200
2020-01-27,136.899994,137.809998,135.570007,135.729996,122.473129,2920500
2020-01-28,137.020004,137.600006,135.619995,136.740005,123.384491,2763800
2020-01-29,137.589996,137.759995,135.669998,135.779999,122.518234,2620000
2020-01-30,134.759995,135.970001,132.910004,135.369995,122.148293,3862600
2020-01-31,133.820007,134.990005,130.539993,131.350006,118.520943,6785700
2020-02-03,131.440002,133.160004,129.300003,129.770004,117.095238,4385300
2020-02-04,133.000000,134.779999,132.679993,133.509995,120.469971,3501600
2020-02-05,135.550003,137.470001,135.440002,137.440002,124.016106,4448100
2020-02-06,138.199997,138.330002,136.130005,137.250000,123.844688,2283800
2020-02-07,136.039993,136.490005,133.000000,133.369995,120.343643,3812300
2020-02-10,133.039993,134.330002,132.779999,134.320007,121.200836,2331600
