Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,83.239998,83.760002,82.690002,83.180000,73.840630,1732100
2019-11-07,83.779999,85.269997,83.779999,84.349998,74.879234,1500300
2019-11-08,84.250000,84.709999,83.449997,84.709999,75.198837,1201600
2019-11-11,83.919998,84.800003,83.919998,84.120003,74.675102,669000
2019-11-12,84.139999,84.629997,83.709999,84.449997,74.968040,1402300
2019-11-13,84.000000,84.519997,83.370003,84.309998,74.843750,1513600
2019-11-14,84.040001,85.050003,84.040001,84.809998,75.287621,1331400
2019-11-15,85.199997,85.199997,84.040001,84.519997,75.030174,1631700
2019-11-18,84.230003,84.730003,83.550003,84.150002,74.701729,1721600
2019-11-19,84.459999,84.879997,83.830002,83.910004,74.488663,1421500
2019-11-20,83.239998,83.550003,82.309998,82.860001,73.944313,1173500
2019-11-21,82.970001,83.110001,82.290001,82.919998,73.997841,987100
2019-11-22,83.199997,84.040001,82.930000,83.870003,74.845627,955000
2019-11-25,83.980003,85.269997,83.970001,85.180000,76.014671,1093000
2019-11-26,84.809998,85.160004,84.239998,84.730003,75.613098,1054300
2019-11-27,85.000000,85.330002,84.589996,85.120003,75.961128,990400
2019-11-29,84.900002,85.220001,84.660004,84.870003,75.738029,606300
2019-12-02,85.260002,85.540001,83.959999,84.059998,75.015182,1295000
2019-12-03,82.989998,83.180000,81.589996,82.959999,74.033531,1785400
2019-12-04,82.959999,83.989998,82.959999,83.629997,74.631439,1603300
2019-12-05,82.800003,83.320000,82.150002,83.129997,74.185249,2368000
2019-12-06,84.190002,84.930000,84.050003,84.309998,75.238281,1644700
2019-12-09,83.980003,84.889999,83.800003,84.209999,75.149048,1425300
2019-12-10,84.000000,84.919998,83.779999,84.860001,75.729103,1104900
2019-12-11,84.919998,85.250000,84.040001,84.230003,75.166901,1215300
2019-12-12,84.389999,86.559998,84.139999,86.379997,77.085571,1536800
2019-12-13,86.480003,87.389999,85.879997,86.680000,77.353279,1331600
2019-12-16,87.139999,87.370003,86.029999,86.129997,76.862450,1787600
2019-12-17,86.389999,86.970001,85.820000,86.510002,77.201561,1710100
2019-12-18,86.470001,86.940002,86.220001,86.510002,77.201561,2004900
2019-12-19,86.440002,86.680000,86.059998,86.320000,77.031998,1872600
2019-12-20,86.839996,87.430000,86.500000,86.699997,77.371117,2909000
2019-12-23,86.790001,86.790001,85.220001,85.339996,76.157440,1035500
2019-12-24,85.379997,85.650002,84.970001,85.279999,76.103928,450400
2019-12-26,85.419998,85.650002,85.080002,85.489998,76.291313,787700
2019-12-27,85.650002,85.650002,84.849998,84.949997,75.809433,556100
2019-12-30,85.290001,85.389999,84.349998,84.529999,75.434631,775500
2019-12-31,84.290001,84.989998,84.290001,84.820000,75.693413,894100
2020-01-02,85.110001,85.309998,84.470001,85.300003,76.121780,1559200
2020-01-03,84.010002,84.430000,83.349998,83.879997,74.854561,1068300
2020-01-06,83.010002,83.379997,81.669998,82.400002,73.533798,2278300
2020-01-07,81.959999,82.389999,81.389999,81.489998,72.721710,1926300
2020-01-08,81.669998,83.059998,81.349998,82.370003,73.507027,2092300
2020-01-09,82.940002,83.489998,82.919998,83.430000,74.452972,1580100
2020-01-10,83.440002,83.589996,82.540001,82.680000,73.783684,909100
2020-01-13,82.760002,83.110001,82.190002,82.879997,73.962151,996900
2020-01-14,82.910004,83.480003,82.580002,83.040001,74.104942,1343300
