Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,90.750000,91.220001,90.010002,91.199997,82.979698,2097400
2019-11-07,91.889999,92.150002,90.680000,90.900002,82.706749,1885900
2019-11-08,90.669998,92.370003,90.459999,92.220001,83.907776,1981000
2019-11-11,90.980003,92.000000,90.980003,91.879997,83.598419,1110000
2019-11-12,91.599998,92.959999,91.540001,92.349998,84.026039,3600200
2019-11-13,91.480003,91.849998,90.570000,90.779999,82.597565,2115900
2019-11-14,90.610001,91.180000,90.489998,90.889999,82.697655,1166800
2019-11-15,91.699997,92.160004,91.360001,91.790001,83.516533,1914000
2019-11-18,90.910004,91.669998,90.199997,90.730003,82.552078,2306800
2019-11-19,90.730003,90.860001,89.870003,90.209999,82.078941,2873800
2019-11-20,89.900002,90.230003,89.150002,89.820000,81.724098,1855700
2019-11-21,89.980003,90.190002,89.360001,90.160004,82.033455,1609900
2019-11-22,90.680000,91.070000,90.250000,90.739998,82.561172,1652300
2019-11-25,91.370003,92.529999,90.709999,92.150002,83.844070,3961100
2019-11-26,91.959999,92.769997,91.699997,92.699997,84.344521,2510300
2019-11-27,92.669998,93.120003,91.839996,93.000000,84.617462,1477500
2019-11-29,92.970001,92.970001,92.290001,92.500000,84.162521,1032400
2019-12-02,92.980003,93.379997,91.940002,91.980003,83.689415,2387800
2019-12-03,90.959999,91.790001,90.349998,91.400002,83.161690,2899100
2019-12-04,90.860001,92.639999,90.860001,91.120003,82.906921,2832600
2019-12-05,91.919998,91.980003,90.930000,91.860001,83.580215,2982800
2019-12-06,93.339996,93.760002,92.570000,93.080002,84.690239,1562300
2019-12-09,92.910004,93.050003,92.510002,92.760002,84.399094,3366900
2019-12-10,92.760002,93.370003,92.180000,92.680000,84.326302,1574100
2019-12-11,93.089996,93.500000,92.160004,93.389999,84.972313,2135000
2019-12-12,93.500000,94.639999,93.070000,94.449997,85.936760,2735100
2019-12-13,94.190002,94.959999,93.209999,93.599998,85.163376,1844900
2019-12-16,94.050003,94.830002,93.900002,94.080002,85.600121,1891500
2019-12-17,94.669998,94.959999,94.150002,94.230003,85.736610,1693600
2019-12-18,94.209999,94.480003,93.440002,94.430000,85.918579,2008400
2019-12-19,94.519997,94.750000,93.870003,94.239998,85.745705,3015800
2019-12-20,94.989998,95.459999,94.080002,94.400002,85.891289,5245700
2019-12-23,94.720001,95.279999,94.160004,95.129997,86.555466,2332400
2019-12-24,95.360001,95.360001,94.300003,94.480003,85.964066,664200
2019-12-26,94.660004,95.050003,94.260002,95.040001,86.473587,1264600
2019-12-27,95.339996,95.389999,94.830002,94.989998,86.428093,1004300
2019-12-30,94.949997,95.480003,94.559998,94.930000,86.373497,1451900
2019-12-31,94.779999,95.290001,94.410004,94.720001,86.182419,1461800
2020-01-02,95.239998,95.879997,94.239998,95.870003,87.228783,2380800
2020-01-03,94.230003,95.239998,93.709999,95.160004,86.582787,1557900
2020-01-06,94.540001,95.430000,94.269997,95.339996,86.746521,3665200
2020-01-07,94.160004,95.000000,94.010002,94.839996,86.291611,2631000
2020-01-08,94.839996,95.559998,94.650002,95.129997,86.555466,2480500
2020-01-09,95.610001,95.639999,94.820000,95.190002,86.610054,2736900
2020-01-10,95.519997,95.610001,94.699997,94.980003,86.419006,2213000
2020-01-13,94.629997,95.029999,94.250000,94.860001,86.309807,1638300
2020-01-14,95.050003,95.190002,93.989998,94.099998,85.618317,2349900
2020-01-15,93.550003,94.290001,93.339996,93.900002,85.436348,2653200
2020-01-16,94.709999,94.839996,93.980003,94.820000,86.273430,1677000
2020-01-17,94.790001,95.949997,94.620003,95.680000,87.055916,2978600
2020-01-21,95.349998,95.489998,94.320000,94.519997,86.000458,3505200
2020-01-22,98.320000,99.820000,96.589996,97.160004,88.402481,5604100
2020-01-23,96.330002,97.970001,95.410004,97.900002,89.075806,3081300
2020-01-24,98.260002,98.309998,96.430000,96.839996,88.111336,2626000
2020-01-27,94.860001,95.150002,93.959999,94.639999,86.109642,2194200
2020-01-28,94.839996,97.019997,94.680000,96.269997,87.592720,3394200
2020-01-29,96.870003,97.480003,96.120003,96.870003,88.138649,2108100
2020-01-30,95.620003,97.410004,95.489998,97.230003,88.466179,2680500
2020-01-31,96.379997,96.860001,94.029999,94.470001,85.954987,4701800
2020-02-03,95.059998,96.809998,94.949997,95.489998,86.883026,2745100
2020-02-04,97.970001,101.540001,97.860001,100.910004,91.814499,4735400
2020-02-05,102.320000,103.209999,101.680000,102.339996,93.115601,3339400
2020-02-06,103.500000,103.500000,101.860001,102.480003,93.242989,2507900
2020-02-07,101.900002,102.940002,101.129997,101.959999,92.769859,3064000
2020-02-10,101.839996,102.930000,101.500000,102.910004,93.634232,2039600
2020-02-11,103.419998,104.389999,103.010002,103.529999,94.198334,2481300
2020-02-12,104.500000,104.970001,103.800003,104.029999,94.653267,2006200
2020-02-13,103.410004,103.980003,102.820000,102.889999,93.616020,2059500
