Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,5.216000,5.241750,5.102750,5.190750,5.165625,269012000
2019-11-07,5.277750,5.292500,5.163500,5.208500,5.183287,280340000
2019-11-08,5.191500,5.226250,5.153750,5.194500,5.169356,189100000
2019-11-11,5.193750,5.227750,5.107000,5.204500,5.179307,243436000
2019-11-12,5.243000,5.296500,5.207750,5.240250,5.214885,283504000
2019-11-13,5.208750,5.236500,5.147500,5.214250,5.189011,300188000
2019-11-14,5.223250,5.247000,5.163000,5.244750,5.219362,518080000
2019-11-15,5.242500,5.294500,5.016000,5.104750,5.080040,1053628000
2019-11-18,5.097250,5.333750,5.094250,5.307000,5.281312,574588000
2019-11-19,5.275750,5.299500,5.141250,5.199750,5.174582,414564000
2019-11-20,5.176750,5.363750,5.164000,5.279500,5.253945,472588000
2019-11-21,5.275000,5.331000,5.232750,5.254500,5.229065,288388000
2019-11-22,5.277250,5.324000,5.248500,5.272250,5.246731,224100000
2019-11-25,5.401000,5.535250,5.388000,5.530250,5.503482,506476000
2019-11-26,5.512500,5.517250,5.418500,5.425000,5.398742,385244000
2019-11-27,5.466750,5.501250,5.429500,5.456000,5.433597,215784000
2019-11-29,5.425000,5.453500,5.394500,5.418500,5.396250,141556000
2019-12-02,5.411500,5.425000,5.216000,5.231250,5.209770,372036000
2019-12-03,5.046750,5.195500,5.009250,5.191500,5.170183,465232000
2019-12-04,5.275500,5.298000,5.206750,5.235500,5.214002,273424000
2019-12-05,5.257500,5.273250,5.187750,5.218500,5.197073,184884000
2019-12-06,5.288000,5.337250,5.278000,5.304250,5.282470,232236000
2019-12-09,5.281250,5.359250,5.272500,5.304250,5.282470,211880000
2019-12-10,5.334500,5.401500,5.281500,5.349500,5.327535,256388000
2019-12-11,5.360000,5.439000,5.357500,5.433500,5.411190,233796000
2019-12-12,5.404500,5.620000,5.395500,5.601750,5.578748,404348000
2019-12-13,5.604750,5.724500,5.545500,5.599750,5.576757,454704000
2019-12-16,5.647500,5.701500,5.619250,5.628750,5.605639,320976000
2019-12-17,5.647500,5.730000,5.638000,5.707250,5.683815,321196000
2019-12-18,5.742250,5.798500,5.733750,5.737750,5.714190,343548000
2019-12-19,5.772500,5.900000,5.767500,5.886500,5.862329,445360000
2019-12-20,5.953250,6.009750,5.934000,5.984250,5.959678,603044000
2019-12-23,6.013000,6.045250,5.959750,5.970500,5.945985,355060000
2019-12-24,5.955000,5.982750,5.920500,5.965500,5.941006,138864000
2019-12-26,5.969000,6.008000,5.950000,5.979750,5.955196,182852000
2019-12-27,5.995000,6.008500,5.895250,5.921750,5.897434,254644000
2019-12-30,5.899750,5.905000,5.776500,5.808000,5.784152,258056000
2019-12-31,5.772500,5.892000,5.753250,5.882500,5.858345,231004000
2020-01-02,5.968750,5.997750,5.918000,5.997750,5.973122,237536000
2020-01-03,5.877500,5.945750,5.852500,5.901750,5.877516,205384000
2020-01-06,5.808000,5.931750,5.781750,5.926500,5.902164,262636000
2020-01-07,5.955000,6.044250,5.909750,5.998250,5.973619,314856000
2020-01-08,5.994000,6.051000,5.953750,6.009500,5.984824,277108000
2020-01-09,6.096250,6.148250,6.021500,6.075500,6.050553,255112000
2020-01-10,6.183250,6.213750,6.093750,6.108000,6.082920,316296000
2020-01-13,6.191500,6.324750,6.168750,6.299500,6.273634,319840000
2020-01-14,6.256500,6.282000,6.168750,6.182000,6.156617,359088000
2020-01-15,6.194750,6.217250,6.113250,6.139250,6.114042,263104000
2020-01-16,6.193000,6.229250,6.169500,6.223250,6.197696,284192000
2020-01-17,6.242500,6.250000,6.184250,6.232000,6.206410,253792000
2020-01-21,6.195250,6.232250,6.164250,6.198500,6.173049,217916000
2020-01-22,6.244000,6.339750,6.225000,6.252750,6.227075,239240000
2020-01-23,6.293000,6.330000,6.203750,6.321500,6.295543,244516000
2020-01-24,6.437500,6.487500,6.207500,6.262000,6.236287,373512000
2020-01-27,5.956000,6.056250,5.805750,6.005000,5.980343,470536000
2020-01-28,6.071250,6.231750,6.017750,6.199250,6.173795,310976000
2020-01-29,6.184750,6.221000,6.098500,6.138500,6.113295,258848000
2020-01-30,6.040250,6.158750,5.985000,6.145250,6.120017,290504000
2020-01-31,6.099250,6.111250,5.868750,5.910750,5.886479,370420000
2020-02-03,5.892500,6.027750,5.886250,6.008250,5.983580,255564000
2020-02-04,6.150750,6.197500,6.100500,6.178250,6.152883,271544000
2020-02-05,6.299750,6.310000,6.185250,6.269000,6.243258,208220000
2020-02-06,6.303500,6.356250,6.222000,6.356250,6.330149,218284000
2020-02-07,6.316000,6.338250,6.264250,6.289750,6.263924,189752000
2020-02-10,6.312500,6.575000,6.307500,6.574250,6.547256,529608000
2020-02-11,6.683000,6.812500,6.620750,6.697250,6.669752,638556000
2020-02-12,6.750250,6.820000,6.711250,6.813500,6.785522,374644000
2020-02-13,6.755250,6.837000,6.727750,6.769500,6.741703,528016000
2020-02-14,7.181500,7.374250,7.150000,7.244750,7.215002,1041924000
2020-02-18,7.141000,7.432750,7.121500,7.414250,7.383806,620164000
