Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,249.710007,251.990005,249.089996,250.520004,232.767502,3668600
2019-11-07,251.949997,256.750000,251.259995,256.459991,238.286545,3646300
2019-11-08,256.769989,258.339996,255.000000,256.970001,238.760406,2200300
2019-11-11,255.050003,256.459991,253.330002,254.089996,236.084503,1765600
2019-11-12,253.589996,255.759995,253.410004,255.250000,237.162292,1892500
2019-11-13,254.869995,256.880005,253.190002,253.570007,235.601334,3289800
2019-11-14,253.800003,256.079987,253.470001,255.830002,237.701187,2101900
2019-11-15,256.109985,275.570007,255.360001,269.399994,250.309601,10136000
2019-11-18,269.000000,278.450012,269.000000,272.929993,253.589401,6985200
2019-11-19,275.239990,275.359985,271.549988,274.230011,254.797302,4002000
2019-11-20,272.250000,276.029999,271.239990,275.559998,256.033081,4141600
2019-11-21,275.220001,277.679993,273.910004,276.549988,256.952850,3309900
2019-11-22,276.529999,277.769989,275.000000,276.839996,257.222290,2802700
2019-11-25,277.779999,283.000000,277.010010,282.670013,262.639221,4082900
2019-11-26,280.709991,282.250000,280.160004,281.399994,261.459198,2998600
2019-11-27,281.010010,281.929993,278.690002,280.670013,260.781006,2323900
2019-11-29,278.100006,280.920013,277.329987,279.869995,260.037628,1520900
2019-12-02,281.779999,282.000000,278.570007,279.660004,259.842529,2517100
2019-12-03,276.970001,278.420013,273.850006,276.899994,257.278137,3239200
2019-12-04,281.619995,281.839996,278.640015,279.320007,259.526642,2694200
2019-12-05,279.239990,282.820007,277.480011,282.000000,262.016724,3357300
2019-12-06,282.839996,283.040009,279.109985,280.190002,261.335876,2828900
2019-12-09,280.769989,280.869995,277.420013,277.540009,258.864227,2697100
2019-12-10,277.600006,279.600006,274.010010,279.519989,260.710999,2515300
2019-12-11,278.299988,280.660004,278.029999,280.500000,261.624908,2751300
2019-12-12,281.029999,283.989990,280.040009,283.609985,264.525665,2996200
2019-12-13,284.970001,287.809998,284.119995,285.480011,266.269928,3599300
2019-12-16,287.970001,295.440002,287.059998,292.029999,272.379181,4663600
2019-12-17,291.239990,292.779999,289.170013,290.470001,270.924042,4409100
2019-12-18,291.000000,294.859985,290.989990,292.899994,273.190582,3621600
2019-12-19,295.000000,297.200012,293.619995,294.619995,274.794830,2905900
2019-12-20,298.899994,300.000000,292.510010,292.589996,272.901459,6608300
2019-12-23,293.429993,295.850006,292.809998,295.089996,275.233185,2098900
2019-12-24,295.260010,295.829987,293.559998,294.540009,274.720245,714000
2019-12-26,295.299988,296.260010,294.540009,295.649994,275.755463,1050600
2019-12-27,296.010010,296.540009,295.010010,295.970001,276.054016,1547100
2019-12-30,296.049988,296.540009,293.450012,293.850006,274.076691,1511700
2019-12-31,293.660004,294.089996,291.149994,293.980011,274.197937,2224200
2020-01-02,293.980011,295.700012,289.790009,292.500000,272.817535,2543400
2020-01-03,287.269989,291.880005,284.359985,289.540009,270.056671,2711400
2020-01-06,288.000000,291.660004,287.220001,291.549988,271.931396,3079100
2020-01-07,290.700012,291.489990,287.579987,289.790009,270.289856,2492900
2020-01-08,291.500000,297.380005,290.040009,295.899994,275.988708,3379200
2020-01-09,294.290009,297.200012,293.720001,294.220001,274.421753,2838200
2020-01-10,296.070007,296.070007,292.209991,295.130005,275.270477,2477900
2020-01-13,294.369995,294.450012,285.019989,285.850006,266.614929,6994900
2020-01-14,285.600006,288.239990,284.250000,288.239990,268.844147,6056300
2020-01-15,289.019989,299.640015,289.000000,296.410004,276.464386,6081300
2020-01-16,298.000000,300.989990,295.929993,300.739990,280.503021,3710300
2020-01-17,300.010010,300.700012,295.880005,298.470001,278.385803,4632200
2020-01-21,296.890015,302.540009,296.010010,300.529999,280.307129,4962800
2020-01-22,301.989990,302.130005,297.350006,300.589996,280.363129,3117600
2020-01-23,300.010010,300.579987,296.649994,299.459991,279.309082,3169600
2020-01-24,298.339996,299.929993,291.559998,292.809998,273.106567,3678500
2020-01-27,288.000000,288.079987,280.070007,284.089996,264.973389,4399400
2020-01-28,283.910004,288.369995,283.299988,285.869995,266.633636,4341000
2020-01-29,284.000000,286.190002,280.890015,282.899994,263.863434,3963800
2020-01-30,281.839996,281.839996,275.920013,280.980011,262.072662,4211800
2020-01-31,278.170013,278.779999,271.179993,272.450012,254.116684,5532600
2020-02-03,275.130005,276.850006,270.820007,274.019989,255.581009,5646800
2020-02-04,277.279999,283.500000,276.880005,280.839996,261.942017,4290200
2020-02-05,285.600006,297.000000,285.440002,295.730011,275.830200,5761000
2020-02-06,297.000000,297.269989,290.000000,292.459991,272.780212,3044000
2020-02-07,292.869995,293.390015,288.910004,289.220001,269.758270,3425900
2020-02-10,286.230011,289.290009,285.450012,287.029999,267.715576,3147400
2020-02-11,286.850006,291.570007,285.899994,290.790009,271.222595,2992200
2020-02-12,295.000000,305.000000,294.010010,303.480011,283.058655,6701900
2020-02-13,300.140015,305.899994,300.140015,302.200012,281.864777,3565500
2020-02-14,302.209991,303.970001,297.309998,298.779999,278.674896,2485600
2020-02-18,299.670013,303.350006,299.000000,302.140015,281.808838,3241700
2020-02-19,303.369995,306.709991,302.730011,305.309998,284.765503,3021100
2020-02-20,303.200012,304.160004,297.890015,302.130005,281.799561,2885500
2020-02-21,300.470001,302.510010,298.609985,301.429993,281.146606,2987100
2020-02-24,286.890015,288.989990,277.640015,277.790009,259.097382,8790600
2020-02-25,280.149994,281.980011,262.010010,263.390015,245.666351,8171200
2020-02-26,264.720001,269.829987,258.709991,263.000000,245.302567,6806600
2020-02-27,258.420013,262.149994,252.070007,253.919998,236.833572,7604300
2020-02-28,246.199997,257.100006,245.300003,254.960007,237.803589,9961000
2020-03-02,257.339996,273.239990,250.320007,273.109985,254.732239,8866300
